symbol,model_name,prediction_col,forecast_col,model_role,min_weight,max_weight,role_multiplier,recent_mape,directional_accuracy,observation_count,naive_recent_mape,skill_vs_naive_multiplier,direction_multiplier,price_accuracy_score,raw_score,final_weight,final_weight_pct
STT,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.442275,0.483146,90,1.4045656025197943,1.1,0.9898876404494381,0.590920344427268,0.7206519264,0.30294212775354934,30.2942
STX,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,3.579621,0.0,90,3.5796211461511267,0.85,0.7,0.2611224353106122,0.1320626717,0.14123923527540316,14.1239
STX,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,15.36893,0.449438,90,3.5796211461511267,0.75,0.9696629213483146,0.06402487392491515,0.0442338142,0.06056018277582047,6.056
STX,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,3.534462,0.606742,90,3.5796211461511267,1.1,1.0640449438202246,0.2642383549645441,0.2938137524,0.2,20.0
STX,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,16.867913,0.449438,90,3.5796211461511267,0.75,0.9696629213483146,0.05841833623311278,0.0339876567,0.023481334817161473,2.3481
STX,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,3.529752,0.539326,90,3.5796211461511267,1.1,1.0235955056179775,0.26456765260594955,0.3127858505,0.25609695944100447,25.6097
STX,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,3.497338,0.58427,90,3.5796211461511267,1.1,1.050561797752809,0.2668561003678158,0.3453897518,0.31862228769061035,31.8622
STZ,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.510069,0.0,90,1.5100690323625512,0.85,0.7,0.5681595332983582,0.287346684,0.16698305544877556,16.6983
STZ,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,4.545481,0.617978,90,1.5100690323625512,0.75,1.0707865168539326,0.20852966847272372,0.1590946646,0.09476977467169423,9.477
STZ,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.504812,0.561798,90,1.5100690323625512,1.1,1.0370786516853931,0.5698616590912735,0.6175859723,0.2,20.0
STZ,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,11.060805,0.595506,90,1.5100690323625512,0.75,1.0573033707865167,0.08841103610682911,0.0560863719,0.022833585767130404,2.2834
STZ,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.707522,0.337079,90,1.5100690323625512,0.95,0.902247191011236,0.510849820054876,0.4597605331,0.22717526577526542,22.7175
STZ,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.65487,0.359551,90,1.5100690323625512,0.95,0.9157303370786516,0.5249701949037991,0.5114979261,0.2882383183371343,28.8238
SW,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,2.246218,0.0,90,2.246218253908519,0.85,0.7,0.4006059960639355,0.2026064825,0.15702993827769504,15.703
SW,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,6.738653,0.573034,90,2.246218253908519,0.75,1.043820224719101,0.1430890845759271,0.1064184873,0.08621717521542177,8.6217
SW,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,2.250061,0.370787,90,2.246218253908519,1.1,0.9224719101123595,0.3999901810697354,0.3855837931,0.2,20.0
SW,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,7.658483,0.651685,90,2.246218253908519,0.75,1.0910112359550561,0.12644649683783835,0.0827727293,0.04372594596191728,4.3726
SW,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,2.403916,0.438202,90,2.246218253908519,0.95,0.9629213483146066,0.37680172557898295,0.3619233496,0.23119148255668925,23.1191
SW,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,2.375234,0.404494,90,2.246218253908519,0.95,0.9426966292134831,0.38091839352753687,0.3820722767,0.28183545798827664,28.1835
SWK,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,2.006391,0.0,90,2.0063911896294413,0.85,0.7,0.44318556312224666,0.2241410985,0.14417135428546488,14.4171
SWK,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,7.636501,0.52809,90,2.0063911896294413,0.75,1.0168539325842696,0.12679893846625073,0.0918668994,0.06859725142393555,6.8597
SWK,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,2.006693,0.505618,90,2.0063911896294413,1.1,1.003370786516854,0.4431263585365761,0.4646279448,0.2,20.0
SWK,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,10.383739,0.539326,90,2.0063911896294413,0.75,1.0235955056179775,0.09404029783654806,0.0577555357,0.024265594539095547,2.4266
SWK,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,2.074982,0.539326,90,2.0063911896294413,1.1,1.0235955056179775,0.4301108077540798,0.5084997106,0.25364268630368236,25.3643
SWK,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,2.029974,0.516854,90,2.0063911896294413,1.1,1.0101123595505617,0.43860150398872627,0.5458213377,0.3093231134478216,30.9323
SWKS,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,2.050797,0.011236,90,2.050797047064355,0.85,0.7067415730337078,0.4346319903686965,0.2219321288,0.15020143513461673,15.0201
SWKS,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,6.888133,0.47191,90,2.050797047064355,0.75,0.9831460674157303,0.14009265512840438,0.0981337244,0.07430696930058854,7.4307
SWKS,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,2.060842,0.438202,90,2.050797047064355,1.1,0.9629213483146066,0.4327426958050267,0.4354485532,0.2,20.0
SWKS,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,13.883924,0.494382,90,2.050797047064355,0.75,0.996629213483146,0.07075176000669488,0.0423079626,0.01910186951911041,1.9102
SWKS,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,2.167328,0.561798,90,2.050797047064355,0.95,1.0370786516853931,0.41367996862277434,0.4279461174,0.23321589607036783,23.3216
SWKS,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,2.137665,0.573034,90,2.050797047064355,1.1,1.043820224719101,0.41881927140140457,0.538595936,0.3231738299753165,32.3174
SYF,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.505721,0.0,90,1.5057210106735217,0.85,0.7,0.5695665734594043,0.2880582945,0.1627442486935777,16.2744
SYF,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,6.682072,0.516854,90,1.5057210106735217,0.75,1.0101123595505617,0.14425701967915253,0.1038225065,0.0706354918773969,7.0635
SYF,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.507681,0.52809,90,1.5057210106735217,1.1,1.0168539325842696,0.5689313986356758,0.6045535359,0.2,20.0
SYF,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,12.881593,0.539326,90,1.5057210106735217,0.75,1.0235955056179775,0.0761522227712169,0.0467694438,0.018305273277313436,1.8305
SYF,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.632986,0.494382,90,1.5057210106735217,0.95,0.996629213483146,0.5310714640623466,0.5279581322,0.24663957291520497,24.664
SYF,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.596954,0.47191,90,1.5057210106735217,0.95,0.9831460674157303,0.5414319008676071,0.5663742693,0.30167541323650704,30.1675
SYK,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.259822,0.011236,90,1.259821603791717,0.85,0.7067415730337078,0.662329905393215,0.3381994172,0.14288732022557601,14.2887
SYK,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,4.470878,0.52809,90,1.259821603791717,0.75,1.0168539325842696,0.2118250260921956,0.1534690164,0.07215065121130024,7.2151
SYK,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.263163,0.47191,90,1.259821603791717,1.1,0.9831460674157303,0.6608675069003142,0.6789671086,0.2,20.0
SYK,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,5.594353,0.483146,90,1.259821603791717,0.75,0.9898876404494381,0.17110534488313156,0.1016250397,0.027911572645783884,2.7912
SYK,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.282499,0.505618,90,1.259821603791717,1.1,1.003370786516854,0.652529145302374,0.7562116274,0.2476954247009949,24.7695
