symbol,model_name,prediction_col,forecast_col,model_role,min_weight,max_weight,role_multiplier,recent_mape,directional_accuracy,observation_count,naive_recent_mape,skill_vs_naive_multiplier,direction_multiplier,price_accuracy_score,raw_score,final_weight,final_weight_pct
A,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.422442,0.0,90,1.4224415301912892,0.85,0.7,0.5979282276526718,0.3024022011,0.16325245540556643,16.3252
A,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,5.064979,0.52809,90,1.4224415301912892,0.75,1.0168539325842696,0.18814750707016945,0.1363144544,0.08105103933905039,8.1051
A,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.424664,0.438202,90,1.4224415301912892,1.1,0.9629213483146066,0.597134597471834,0.6008683661,0.2,20.0
A,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,15.270932,0.52809,90,1.4224415301912892,0.75,1.0168539325842696,0.06442912027150453,0.0393090026,0.014721589480643279,1.4722
A,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.555345,0.460674,90,1.4224415301912892,0.95,0.9764044943820225,0.5539107902377416,0.5394888826,0.24204363721706537,24.2044
A,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.514889,0.449438,90,1.4224415301912892,0.95,0.9696629213483146,0.5666080203425329,0.5845815907,0.29893127855767454,29.8931
AAL,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,2.590992,0.022472,90,2.5909918487091135,0.85,0.7134831460674157,0.35198974627624463,0.181447748,0.1565411237051795,15.6541
AAL,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,9.263168,0.449438,90,2.5909918487091135,0.75,0.9696629213483146,0.10511745368766685,0.0726240543,0.07264284586465827,7.2643
AAL,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,2.591072,0.449438,90,2.5909918487091135,1.1,0.9696629213483146,0.3519798637019608,0.3566604049,0.2,20.0
AAL,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,15.584914,0.494382,90,2.5909918487091135,0.75,0.996629213483146,0.06315158879614162,0.037763231,0.022173529877988506,2.2174
AAL,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,2.775865,0.449438,90,2.5909918487091135,0.95,0.9696629213483146,0.3304839842154706,0.3196569204,0.2276937458751316,22.7694
AAL,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,2.661203,0.449438,90,2.5909918487091135,1.1,0.9696629213483146,0.34350059882686446,0.4103543064,0.32094875467704215,32.0949
AAP,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,2.578452,0.011236,90,2.578452495483245,0.85,0.7067415730337078,0.3535502192795883,0.180530091,0.14488962760542362,14.489
AAP,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,7.684229,0.516854,90,2.578452495483245,0.75,1.0101123595505617,0.12603619608402014,0.0907088876,0.07767810459528512,7.7678
AAP,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,2.581439,0.505618,90,2.578452495483245,1.1,1.003370786516854,0.3531772706773207,0.3703143049,0.2,20.0
AAP,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,7.557815,0.573034,90,2.578452495483245,0.75,1.043820224719101,0.12807680249137587,0.0802134941,0.042161550663712764,4.2162
AAP,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,2.694332,0.47191,90,2.578452495483245,1.1,0.9831460674157303,0.3396356158913569,0.3856676902,0.2427133720189176,24.2713
AAP,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,2.683557,0.438202,90,2.578452495483245,1.1,0.9629213483146066,0.34088308597233435,0.4043961161,0.2925573451166609,29.2557
AAPL,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.16961,0.0,90,1.1696101653106508,0.85,0.7,0.704418737225069,0.3562597764,0.14904385600282058,14.9044
AAPL,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,4.323794,0.505618,90,1.1696101653106508,0.75,1.003370786516854,0.21863688772721418,0.1563038795,0.07345407470617926,7.3454
AAPL,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.165169,0.550562,90,1.1696101653106508,1.1,1.0303370786516854,0.7066293783621328,0.7608294396,0.2,20.0
AAPL,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,5.833877,0.516854,90,1.1696101653106508,0.75,1.0101123595505617,0.16436887579773776,0.0996186198,0.027694993619137825,2.7695
AAPL,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.230529,0.505618,90,1.1696101653106508,0.95,1.003370786516854,0.6754342008876946,0.676016668,0.22793953729135846,22.794
AAPL,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.189967,0.52809,90,1.1696101653106508,1.1,1.0168539325842696,0.6944605101731788,0.8699951578,0.3218675383805039,32.1868
ABBV,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.208832,0.0,90,1.208831852805812,0.85,0.7,0.6854799599259312,0.3466814897,0.150268837836464,15.0269
ABBV,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,3.268305,0.561798,90,1.208831852805812,0.75,1.0370786516853931,0.2842277870951177,0.2100211813,0.09074330586223801,9.0743
ABBV,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.212765,0.483146,90,1.208831852805812,1.1,0.9898876404494381,0.6836366826825595,0.7071760604,0.2,20.0
ABBV,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,7.677159,0.494382,90,1.208831852805812,0.75,0.996629213483146,0.12614859710701495,0.0754340263,0.02181738100081285,2.1817
ABBV,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.285353,0.47191,90,1.208831852805812,0.95,0.9831460674157303,0.6513159172296549,0.638737836,0.2247387368261031,22.4739
ABBV,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.246857,0.460674,90,1.208831852805812,1.1,0.9764044943820225,0.6680663938433968,0.8036373323,0.3124317384743821,31.2432
ABNB,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.643925,0.0,90,1.6439249510799812,0.85,0.7,0.5280040264688237,0.2670380364,0.1383393162404113,13.8339
ABNB,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,4.079075,0.505618,90,1.6439249510799812,0.75,1.003370786516854,0.2309962519482456,0.1651396098,0.08463012091699665,8.463
ABNB,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.644544,0.516854,90,1.6439249510799812,1.1,1.0101123595505617,0.527831372858565,0.5571615982,0.2,20.0
ABNB,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,4.232621,0.561798,90,1.6439249510799812,0.75,1.0370786516853931,0.22308377210889063,0.1388132506,0.045921052315481985,4.5921
ABNB,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.71579,0.52809,90,1.6439249510799812,1.1,1.0168539325842696,0.5087013331051768,0.5974525685,0.23764432101579214,23.7644
ABNB,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.678565,0.516854,90,1.6439249510799812,1.1,1.0101123595505617,0.51852029897039,0.6452769556,0.29346518951131806,29.3465
ABT,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.304469,0.0,90,1.3044692747133644,0.85,0.7,0.6433063787538641,0.3253522011,0.1440920509165137,14.4092
ABT,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,6.848312,0.426966,90,1.3044692747133644,0.75,0.9561797752808988,0.14087857054482622,0.0959774834,0.05775674555157712,5.7757
ABT,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.30395,0.52809,90,1.3044692747133644,1.1,1.0168539325842696,0.643521158297521,0.6838135364,0.2,20.0
ABT,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,12.128522,0.393258,90,1.3044692747133644,0.75,0.9359550561797753,0.08078508969963304,0.0453667279,0.013120084811894523,1.312
ABT,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.349874,0.629213,90,1.3044692747133644,1.1,1.0775280898876405,0.6250493471274292,0.7779020046,0.2649697244651034,26.497
ABT,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.299221,0.573034,90,1.3044692747133644,1.1,1.043820224719101,0.64548584529218,0.8300860939,0.3200613942549112,32.0061
ACGL,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,0.921292,0.0,90,0.9212922878130947,0.85,0.7,0.8537578624948412,0.431788039,0.13841823239932805,13.8418
ACGL,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,2.508822,0.449438,90,0.9212922878130947,0.75,0.9696629213483146,0.3624735274930052,0.250427462,0.08128060884560773,8.1281
ACGL,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,0.911822,0.629213,90,0.9212922878130947,1.1,1.0775280898876405,0.8607170507334321,0.9691819056,0.2,20.0
ACGL,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,2.778755,0.438202,90,0.9212922878130947,0.75,0.9629213483146066,0.3301686542025046,0.1907558674,0.03906151883351952,3.9062
ACGL,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,0.956809,0.561798,90,0.9212922878130947,1.1,1.0370786516853931,0.8286314895678526,0.9925562123,0.24324802432809942,24.3248
ACGL,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,0.934597,0.539326,90,0.9212922878130947,1.1,1.0235955056179775,0.8441691775626022,1.0645561402,0.29799161559344534,29.7992
ACN,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,2.130395,0.011236,90,2.1303945477557353,0.85,0.7067415730337078,0.4200984248358374,0.2145109881,0.14880608216974106,14.8806
ACN,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,8.83717,0.516854,90,2.1303945477557353,0.75,1.0101123595505617,0.11004526205914068,0.0792001315,0.06648043753491736,6.648
ACN,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,2.128488,0.539326,90,2.1303945477557353,1.1,1.0235955056179775,0.4204352015353392,0.4497215839,0.2,20.0
ACN,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,11.594122,0.505618,90,2.1303945477557353,0.75,1.003370786516854,0.08443006365785631,0.0508287956,0.023412293242781757,2.3412
ACN,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,2.23459,0.460674,90,2.1303945477557353,1.1,0.9764044943820225,0.4024809299429537,0.4538967382,0.24906974885262995,24.907
ACN,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,2.201801,0.505618,90,2.1303945477557353,1.1,1.003370786516854,0.40786338186885446,0.5041814652,0.3122314381999298,31.2231
ADBE,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.890019,0.0,90,1.8900192733393817,0.85,0.7,0.46728551114381095,0.2363296473,0.1615855691223857,16.1586
ADBE,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,7.396781,0.561798,90,1.8900192733393817,0.75,1.0370786516853931,0.130773973521894,0.0966313135,0.07562550757611108,7.5626
ADBE,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.890633,0.505618,90,1.8900192733393817,1.1,1.003370786516854,0.46715145830702365,0.4898188018,0.2,20.0
ADBE,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,9.555084,0.52809,90,1.8900192733393817,0.75,1.0168539325842696,0.10198790604446133,0.062224082,0.02937976544131603,2.938
ADBE,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,2.066911,0.438202,90,1.8900192733393817,0.95,0.9629213483146066,0.43160919786032614,0.4145666965,0.2357420971136373,23.5742
ADBE,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,2.003557,0.460674,90,1.8900192733393817,0.95,0.9764044943820225,0.4437429732774881,0.461002082,0.29766706074654986,29.7667
ADI,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.690336,0.0,90,1.690335768669016,0.85,0.7,0.5153747182045485,0.2606507637,0.15317552423472366,15.3176
ADI,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,8.05915,0.483146,90,1.690335768669016,0.75,0.9898876404494381,0.12034925527580594,0.0848817212,0.06359942614915928,6.3599
ADI,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.688901,0.539326,90,1.690335768669016,1.1,1.0235955056179775,0.515756052539567,0.5516822284,0.2,20.0
ADI,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,9.766998,0.483146,90,1.690335768669016,0.75,0.9898876404494381,0.09983031280564114,0.0592924757,0.02347022572716577,2.347
ADI,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.831768,0.52809,90,1.690335768669016,0.95,1.0168539325842696,0.4803608260115367,0.487235653,0.23286647468259472,23.2866
ADI,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.771884,0.539326,90,1.690335768669016,1.1,1.0235955056179775,0.49458829634962614,0.6237102962,0.3268883492063565,32.6888
ADM,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.452135,0.0,90,1.452134555969359,0.85,0.7,0.5874976196758451,0.2971269212,0.14653847089362343,14.6538
ADM,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,4.93907,0.516854,90,1.452134555969359,0.75,1.0101123595505617,0.19271275197091434,0.138696342,0.0750633443842221,7.5063
ADM,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.453802,0.47191,90,1.452134555969359,1.1,0.9831460674157303,0.5869225020974602,0.6029969246,0.2,20.0
ADM,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,3.793611,0.52809,90,1.452134555969359,0.75,1.0168539325842696,0.24730372235102246,0.1508830576,0.04902288760997748,4.9023
ADM,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.533867,0.494382,90,1.452134555969359,0.95,0.996629213483146,0.5605798737441423,0.557293553,0.22106830318145357,22.1068
ADM,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.497365,0.494382,90,1.452134555969359,1.1,0.996629213483146,0.5722904279232207,0.7026851944,0.30830699393072347,30.8307
ADP,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.415356,0.0,90,1.4153563057669194,0.85,0.7,0.6004721010976004,0.3036887651,0.1604102803617571,16.041
ADP,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,5.881968,0.516854,90,1.4153563057669194,0.75,1.0101123595505617,0.16307978009386737,0.1173693423,0.07267125911961314,7.2671
ADP,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.416258,0.426966,90,1.4153563057669194,1.1,0.9561797752808988,0.6001470539258092,0.5996716565,0.2,20.0
ADP,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,9.362283,0.505618,90,1.4153563057669194,0.75,1.003370786516854,0.10403355550333986,0.0626305382,0.02277020450181907,2.277
ADP,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.514936,0.505618,90,1.4153563057669194,0.95,1.003370786516854,0.5665929204136622,0.5670815272,0.24617038757623222,24.617
ADP,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.494729,0.47191,90,1.4153563057669194,0.95,0.9831460674157303,0.573154808137895,0.599558569,0.29797786844057844,29.7978
ADSK,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.873888,0.0,90,1.8738881397711142,0.85,0.7,0.4708345892961045,0.2381245935,0.16282740802018442,16.2827
ADSK,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,5.903534,0.573034,90,1.8738881397711142,0.75,1.043820224719101,0.16250823137881493,0.1208609323,0.08726592753042918,8.7266
ADSK,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.87308,0.550562,90,1.8738881397711142,1.1,1.0303370786516854,0.47101387837252284,0.5071417013,0.2,20.0
ADSK,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,13.27793,0.561798,90,1.8738881397711142,0.75,1.0370786516853931,0.07392113971552607,0.0459972215,0.02179425151305058,2.1794
ADSK,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,2.066435,0.41573,90,1.8738881397711142,0.95,0.949438202247191,0.43169776504780905,0.4088456741,0.23371790625373415,23.3718
ADSK,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.998422,0.426966,90,1.8738881397711142,0.95,0.9561797752808988,0.444756304035284,0.4524840697,0.29439450668260164,29.4395
AEE,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,0.875986,0.0,90,0.8759857130979218,0.85,0.7,0.8881107356581838,0.4491620046,0.1475711040680367,14.7571
AEE,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,2.604565,0.52809,90,0.8759857130979218,0.75,1.0168539325842696,0.35031607955324096,0.2538069517,0.0851342817287901,8.5134
AEE,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,0.871301,0.573034,90,0.8759857130979218,1.1,1.043820224719101,0.8918208536929498,0.9727911729,0.2,20.0
AEE,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,2.763697,0.516854,90,0.8759857130979218,0.75,1.0101123595505617,0.33181834721499315,0.2011042882,0.043685724153423686,4.3686
AEE,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,0.929428,0.47191,90,0.8759857130979218,0.95,0.9831460674157303,0.8478683926108143,0.8314945297,0.22062489361313248,22.0625
AEE,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,0.913794,0.449438,90,0.8759857130979218,1.1,0.9696629213483146,0.8592588028230055,1.026491806,0.302983996436617,30.2984
AEP,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,0.955849,0.0,90,0.9558487334050534,0.85,0.7,0.829291413008511,0.4194141321,0.14910822691016234,14.9108
AEP,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,3.194212,0.494382,90,0.9558487334050534,0.75,0.996629213483146,0.2903422142430551,0.206171517,0.07871865758277645,7.8719
AEP,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,0.950311,0.561798,90,0.9558487334050534,1.1,1.0370786516853931,0.8331171482347044,0.9028883692,0.2,20.0
AEP,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,3.285035,0.494382,90,0.9558487334050534,0.75,0.996629213483146,0.282882654921747,0.1691574707,0.039972179543680326,3.9972
AEP,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.041997,0.47191,90,0.9558487334050534,0.95,0.9831460674157303,0.7739957036544031,0.7590484552,0.2193643579636054,21.9364
AEP,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,0.99612,0.494382,90,0.9558487334050534,1.1,0.996629213483146,0.8024911289200928,0.9853364785,0.31283657799977543,31.2837
AES,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.057909,0.05618,90,1.0579090068248533,0.85,0.7337078651685393,0.7645791830944348,0.4053064317,0.1688073232223744,16.8807
AES,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,4.63917,0.460674,90,1.0579090068248533,0.75,0.9764044943820225,0.20453367706928843,0.1422916661,0.07170990303296831,7.171
AES,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.067487,0.404494,90,1.0579090068248533,1.1,0.9426966292134831,0.7590205614371707,0.7477248004,0.2,20.0
AES,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,7.525056,0.505618,90,1.0579090068248533,0.75,1.003370786516854,0.12861644180055218,0.0774299882,0.022697023578943827,2.2697
AES,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.250825,0.505618,90,1.0579090068248533,0.95,1.003370786516854,0.6663004199025797,0.6668750104,0.23548082317667418,23.5481
AES,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.164073,0.505618,90,1.0579090068248533,0.95,1.003370786516854,0.7071772600075457,0.7549729078,0.3013049269890393,30.1305
AFL,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,0.834038,0.0,90,0.8340384763958888,0.85,0.7,0.9224764819462016,0.4665424807,0.14190420064554743,14.1904
AFL,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,2.449494,0.438202,90,0.8340384763958888,0.75,0.9629213483146066,0.3704398149660296,0.2541518893,0.08006537924570231,8.0065
AFL,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,0.829284,0.550562,90,0.8340384763958888,1.1,1.0303370786516854,0.9265402307385895,0.9976079485,0.2,20.0
AFL,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,2.025504,0.505618,90,0.8340384763958888,0.75,1.003370786516854,0.4394631640583835,0.2645667003,0.05211699280497535,5.2117
AFL,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,0.876675,0.573034,90,0.8340384763958888,0.95,1.043820224719101,0.8875673264493298,0.9241445743,0.22204723447569819,22.2047
AFL,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,0.859672,0.539326,90,0.8340384763958888,1.1,1.0235955056179775,0.9011669746513375,1.136434333,0.3038661928280767,30.3866
AIG,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.062538,0.0,90,1.0625381920147243,0.85,0.7,0.7618825921286272,0.385322121,0.15522502164313906,15.5225
AIG,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,3.692257,0.573034,90,1.0625381920147243,0.75,1.043820224719101,0.25366178030709985,0.1886538238,0.08151820154938982,8.1518
AIG,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.061348,0.52809,90,1.0625381920147243,1.1,1.0168539325842696,0.7625739883031915,0.810320545,0.2,20.0
AIG,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,3.132881,0.573034,90,1.0625381920147243,0.75,1.043820224719101,0.2956059901187218,0.1851357066,0.05055746264205874,5.0557
AIG,recent_momentum_10d,predicted_recent_momentum_10d,forecast_recent_momentum_10d,short-term momentum model,0.04,0.5,1.05,1.175856,0.47191,90,1.0625381920147243,0.95,0.9831460674157303,0.701333206335456,0.6877892013,0.22782371853041453,22.7824
AIG,adaptive_blended_momentum,predicted_adaptive_blended_momentum,forecast_adaptive_blended_momentum,main directional model,0.08,0.7,1.12,1.125204,0.449438,90,1.0625381920147243,0.95,0.9696629213483146,0.7271646038181301,0.7502312455,0.2848755956349979,28.4876
AIV,naive,predicted_naive,forecast_naive,stability anchor,0.05,0.25,0.85,1.184766,0.078652,90,1.184765504042264,0.85,0.747191011235955,0.6969780059407833,0.376260444,0.15869763141471405,15.8698
AIV,moving_average_30d,predicted_moving_average_30d,forecast_moving_average_30d,smoothing baseline,0.03,0.2,0.95,8.221326,0.505618,90,1.184765504042264,0.75,1.003370786516854,0.11804527693579046,0.0843907674,0.05437959312254592,5.438
AIV,drift,predicted_drift,forecast_drift,long-term baseline,0.03,0.2,0.95,1.188522,0.483146,90,1.184765504042264,1.1,0.9898876404494381,0.6951578295653424,0.7190939101,0.2,20.0
AIV,recent_linear_trend_252d,predicted_recent_linear_trend_252d,forecast_recent_linear_trend_252d,aggressive trend baseline,0.0,0.15,0.8,9.842401,0.494382,90,1.184765504042264,0.75,0.996629213483146,0.09908444864827531,0.0592502737,0.01711677246826831,1.7117
